# iter, br_Ha_amp, br_Ha_voff, na_Ha_outflow_voff, na_Ha_core_voff, stel_vel, na_feii_amp, stel_disp, na_Ha_outflow_fwhm, na_Ha_outflow_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, br_Ha_fwhm, na_Ha_core_amp, na_sii6732_core_amp, power_slope, br_feii_amp, na_sii6718_core_amp
8300, 13.4238720144, 256.672259524, -192.669517561, 94.1487581946, 139.046327695, 2.20434017241, 181.683512424, 1179.40350822, 44.1813535954, 168.058809972, 12.1331570947, 76.7577821476, 4894.53987959, 135.731400791, 12.1239527451, -0.237691537443, 3.64208636492, 12.3815790236
8400, 13.4186917849, 256.171354559, -193.369013813, 94.0705178263, 136.130464951, 2.27843988079, 177.232249211, 1179.30603545, 44.2503593749, 167.840260534, 12.3565086236, 76.8909817959, 4906.25034471, 135.743541963, 12.1577333615, -0.283471556545, 3.60398656322, 12.3367769382
8500, 13.49603421, 260.189854368, -192.477843755, 94.0546022732, 141.815965122, 2.17859495118, 180.277979742, 1178.53686156, 44.25186952, 167.818892529, 12.3089931203, 76.6936243782, 4908.80214476, 135.637620905, 12.1461999451, -0.279652666454, 3.62547267786, 12.2714954281
8600, 13.4586225232, 258.645664609, -192.176768666, 94.1717967473, 138.51594991, 2.16547086953, 181.811096394, 1176.65237553, 44.2108626645, 167.965283534, 12.4226739722, 76.5899682315, 4880.38623968, 135.541241426, 12.0706388165, -0.27269155253, 3.58486989764, 12.3283029033
8700, 13.3534671603, 257.43088344, -191.105956137, 94.0627452622, 135.554419345, 1.94803035825, 191.244876929, 1183.46656757, 44.2627126589, 167.51423806, 11.7989526889, 76.674889424, 4901.77832821, 135.611857257, 11.8930275601, -0.223420585243, 3.60659575121, 12.3594681388
8800, 13.3304644893, 261.086320949, -191.987827344, 94.0122712004, 136.657191782, 2.16141010241, 186.277077379, 1185.35033063, 44.2329524683, 167.978627651, 11.7212998721, 76.5739611976, 4924.08063129, 135.87202734, 11.8694295789, -0.158484166218, 3.63123442177, 12.4046069173
8900, 13.3277921783, 261.874663728, -190.660682647, 93.9991631407, 141.129390722, 2.40260853963, 177.753776716, 1185.93222886, 44.1673942635, 168.8324385, 12.3288235214, 76.4264093843, 4922.92528009, 135.671446892, 11.866701604, -0.171520209965, 3.56937332865, 12.4088432193
9000, 13.3677193946, 262.600998074, -193.608961252, 93.8246620074, 133.636137921, 2.26388766571, 183.886278424, 1183.86343421, 44.2578989106, 168.262822612, 12.4061735922, 76.6098151776, 4913.15828301, 135.431558329, 11.9550902903, -0.224995219036, 3.53463292699, 12.40254568
9100, 13.2186801523, 262.731398221, -193.254836791, 93.8001041385, 141.300912572, 2.5644238466, 181.370948309, 1184.25640255, 44.2413382442, 167.968457891, 12.2819277999, 76.6235673706, 4931.66547623, 135.45791352, 11.8823662033, -0.220806656145, 3.56213274246, 12.363220592
9200, 13.320945335, 263.548122095, -192.816782249, 93.8695009955, 135.864559393, 2.45997843702, 186.257310074, 1182.74693185, 44.2877382101, 167.534955248, 12.2583966863, 76.597371616, 4911.2867483, 135.588134667, 11.9896998975, -0.209293437119, 3.59531922122, 12.3371423374
