# iter, br_Ha_amp, br_Hb_fwhm, br_feii_amp, na_oiii5007_outflow_fwhm, br_Ha_fwhm, br_Hb_voff, na_oiii5007_outflow_voff, na_oiii5007_core_fwhm, na_feii_amp, na_Ha_core_voff, na_oiii5007_core_amp, na_Hb_core_amp, stel_disp, stel_vel, na_sii6718_core_amp, na_sii6732_core_amp, na_oiii5007_core_voff, br_Ha_voff, br_Hb_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, na_oiii5007_outflow_amp, na_Ha_core_amp, power_slope, na_Hb_core_voff
4000, 22.5117920215, 3815.55830398, 5.7370843891, 977.828036939, 3714.65573253, 274.376208918, -196.491763372, 220.006885526, 0.284584030995, 95.9507982857, 56.5850005447, 40.0133036618, 110.212000616, 133.66401269, 13.7573107779, 13.0243503661, 11.2328787483, 124.293952872, 13.2186814001, 167.461141918, 9.18857391376, 76.7581370684, 16.281066241, 140.765738194, 1.26181499503, 95.3417954096
4100, 22.4425786252, 3817.12762911, 5.75984619783, 981.397435217, 3713.6066117, 276.895679158, -195.92072907, 219.667747775, 0.245585559165, 95.8859133903, 56.6175950278, 40.1666552105, 110.318295963, 133.072252156, 13.71312059, 13.0340508128, 11.1978210228, 122.205976268, 13.1404378661, 167.480445413, 9.06930820935, 76.8046807677, 16.2692729184, 140.522988163, 1.26842151985, 94.9940993636
4200, 22.5107267372, 3821.25278052, 5.74992903964, 979.99397051, 3715.00634861, 277.084908301, -194.053193856, 220.255796807, 0.232342397726, 95.8347077318, 56.4656970378, 40.1198919041, 109.915422344, 131.212134165, 13.7174390622, 12.9550807995, 11.0462575514, 123.517453622, 13.1833480021, 167.408682263, 8.98412974974, 76.6363363375, 16.1712630769, 140.544205768, 1.29413090497, 95.356262037
4300, 22.5043884396, 3817.68058552, 5.75619115297, 979.696154108, 3717.23469764, 275.683654845, -194.790862498, 218.886031865, 0.258045471176, 95.7422786018, 56.464790627, 40.2358108155, 109.789621475, 130.237591374, 13.6720452934, 12.9497482201, 11.242750654, 125.551252038, 13.196564754, 167.495303416, 8.98800349208, 76.643915871, 16.2010719908, 140.731294786, 1.31077999122, 95.7268926081
4400, 22.4565511959, 3826.73869723, 5.7399491427, 980.696211297, 3713.91033451, 274.281342001, -195.695377488, 218.555062445, 0.288920677251, 95.7833677349, 56.4426707925, 40.1239397957, 109.231015453, 131.126191392, 13.7545744176, 12.9401119121, 11.2234853467, 123.168496368, 13.1242636808, 167.906922746, 9.0593165582, 76.7703536316, 16.2328339009, 140.741083913, 1.27426540168, 96.0975926346
4500, 22.3166118515, 3813.57142058, 5.72005301979, 982.738712541, 3734.73582123, 272.670482001, -196.376099039, 218.972174386, 0.282092511528, 95.6449121848, 56.2878900054, 40.1383356137, 109.276946873, 130.171113703, 13.7163988716, 12.8373157424, 11.1838126743, 125.943283944, 13.1726246388, 167.96226606, 9.21014497461, 76.8433722836, 16.2981834584, 140.639226649, 1.23128743682, 95.7789660039
4600, 22.3761163389, 3804.42842541, 5.71445529673, 980.551341534, 3730.0616396, 271.355600922, -196.58319932, 218.264767236, 0.267624945727, 95.7002284212, 56.3224585804, 40.231981946, 108.118726241, 131.339831237, 13.6926837991, 12.8773136055, 11.6044981245, 126.788869405, 13.2160507311, 168.279560457, 9.1140636901, 76.5350104421, 16.3132598988, 140.421850113, 1.26182712531, 95.9731754417
4700, 22.322729118, 3814.2943424, 5.69606371079, 977.918988452, 3726.10644925, 275.907170241, -195.055128765, 218.58356082, 0.24122829161, 95.8610770042, 56.2888303421, 40.2656765093, 107.440401842, 131.235006753, 13.6816584629, 12.8779793678, 11.3215438344, 125.875533319, 13.2311255701, 168.113778179, 9.1817717697, 76.5915890184, 16.2585177476, 140.441998023, 1.261513559, 95.6097396471
4800, 22.3580924761, 3824.99949972, 5.69242753014, 976.685203234, 3732.18528226, 275.095091183, -194.001707659, 219.458477566, 0.213332539901, 95.7077380197, 56.3650966124, 40.2404246994, 108.720880225, 132.39798117, 13.657258559, 12.8917594597, 11.5452336197, 124.29251153, 13.1823489754, 168.335603175, 9.18649484409, 76.6801877421, 16.2278262895, 140.307731651, 1.25541749763, 95.3785241427
4900, 22.3426591637, 3820.97211381, 5.69284086726, 976.318246522, 3724.53921505, 276.552818147, -193.930622871, 220.252532155, 0.21568740819, 95.6252655675, 56.3655623352, 40.2107282553, 109.995314532, 131.837626526, 13.7333966902, 12.8837839575, 11.0967524594, 122.244500284, 13.259484386, 168.493831648, 9.07418988098, 76.7666832995, 16.1481232462, 140.705148289, 1.26700698585, 95.129579325
5000, 22.1071818481, 3822.64438564, 5.68244563902, 982.098128171, 3746.34315221, 273.486287633, -194.281060685, 220.802801906, 0.229292962789, 95.7212363974, 56.2590530866, 40.1824418195, 109.618966851, 133.960576811, 13.7456133542, 12.8451731515, 11.1259742559, 120.892651577, 13.1814978264, 167.792173, 9.22002077624, 76.6840755203, 16.1557775813, 140.993419925, 1.2310163461, 94.7953744147
5100, 22.0260565226, 3836.44406334, 5.70316613535, 983.381794579, 3760.34487189, 275.644346689, -194.851883907, 220.134691048, 0.234755511627, 95.764074345, 56.2471402527, 40.1555183607, 109.098859675, 134.298465644, 13.6404630949, 12.8421929941, 10.9818304485, 124.875525131, 13.0694866263, 167.674138375, 9.22319293181, 76.7627235674, 16.2158863787, 141.037974234, 1.2193258678, 95.3381283561
